image,image_level_affordance,object,pixel_level_affordance
./part-affordance-dataset/tools/spoon_10/spoon_10_00000137_rgb.jpg,./part-affordance-dataset/tools/spoon_10/spoon_10_00000137_aff.npy,./part-affordance-dataset/tools/spoon_10/spoon_10_00000137_obj.npy,./part-affordance-dataset/tools/spoon_10/spoon_10_00000137_label.mat
./part-affordance-dataset/tools/spoon_10/spoon_10_00000241_rgb.jpg,./part-affordance-dataset/tools/spoon_10/spoon_10_00000241_aff.npy,./part-affordance-dataset/tools/spoon_10/spoon_10_00000241_obj.npy,./part-affordance-dataset/tools/spoon_10/spoon_10_00000241_label.mat
./part-affordance-dataset/tools/spoon_10/spoon_10_00000329_rgb.jpg,./part-affordance-dataset/tools/spoon_10/spoon_10_00000329_aff.npy,./part-affordance-dataset/tools/spoon_10/spoon_10_00000329_obj.npy,./part-affordance-dataset/tools/spoon_10/spoon_10_00000329_label.mat
./part-affordance-dataset/tools/spoon_10/spoon_10_00000251_rgb.jpg,./part-affordance-dataset/tools/spoon_10/spoon_10_00000251_aff.npy,./part-affordance-dataset/tools/spoon_10/spoon_10_00000251_obj.npy,./part-affordance-dataset/tools/spoon_10/spoon_10_00000251_label.mat
./part-affordance-dataset/tools/spoon_10/spoon_10_00000277_rgb.jpg,./part-affordance-dataset/tools/spoon_10/spoon_10_00000277_aff.npy,./part-affordance-dataset/tools/spoon_10/spoon_10_00000277_obj.npy,./part-affordance-dataset/tools/spoon_10/spoon_10_00000277_label.mat
./part-affordance-dataset/tools/spoon_10/spoon_10_00000079_rgb.jpg,./part-affordance-dataset/tools/spoon_10/spoon_10_00000079_aff.npy,./part-affordance-dataset/tools/spoon_10/spoon_10_00000079_obj.npy,./part-affordance-dataset/tools/spoon_10/spoon_10_00000079_label.mat
./part-affordance-dataset/tools/spoon_10/spoon_10_00000101_rgb.jpg,./part-affordance-dataset/tools/spoon_10/spoon_10_00000101_aff.npy,./part-affordance-dataset/tools/spoon_10/spoon_10_00000101_obj.npy,./part-affordance-dataset/tools/spoon_10/spoon_10_00000101_label.mat
./part-affordance-dataset/tools/spoon_10/spoon_10_00000069_rgb.jpg,./part-affordance-dataset/tools/spoon_10/spoon_10_00000069_aff.npy,./part-affordance-dataset/tools/spoon_10/spoon_10_00000069_obj.npy,./part-affordance-dataset/tools/spoon_10/spoon_10_00000069_label.mat
./part-affordance-dataset/tools/spoon_10/spoon_10_00000163_rgb.jpg,./part-affordance-dataset/tools/spoon_10/spoon_10_00000163_aff.npy,./part-affordance-dataset/tools/spoon_10/spoon_10_00000163_obj.npy,./part-affordance-dataset/tools/spoon_10/spoon_10_00000163_label.mat
./part-affordance-dataset/tools/spoon_10/spoon_10_00000173_rgb.jpg,./part-affordance-dataset/tools/spoon_10/spoon_10_00000173_aff.npy,./part-affordance-dataset/tools/spoon_10/spoon_10_00000173_obj.npy,./part-affordance-dataset/tools/spoon_10/spoon_10_00000173_label.mat
./part-affordance-dataset/tools/spoon_10/spoon_10_00000205_rgb.jpg,./part-affordance-dataset/tools/spoon_10/spoon_10_00000205_aff.npy,./part-affordance-dataset/tools/spoon_10/spoon_10_00000205_obj.npy,./part-affordance-dataset/tools/spoon_10/spoon_10_00000205_label.mat
./part-affordance-dataset/tools/spoon_10/spoon_10_00000215_rgb.jpg,./part-affordance-dataset/tools/spoon_10/spoon_10_00000215_aff.npy,./part-affordance-dataset/tools/spoon_10/spoon_10_00000215_obj.npy,./part-affordance-dataset/tools/spoon_10/spoon_10_00000215_label.mat
./part-affordance-dataset/tools/spoon_10/spoon_10_00000197_rgb.jpg,./part-affordance-dataset/tools/spoon_10/spoon_10_00000197_aff.npy,./part-affordance-dataset/tools/spoon_10/spoon_10_00000197_obj.npy,./part-affordance-dataset/tools/spoon_10/spoon_10_00000197_label.mat
./part-affordance-dataset/tools/spoon_10/spoon_10_00000046_rgb.jpg,./part-affordance-dataset/tools/spoon_10/spoon_10_00000046_aff.npy,./part-affordance-dataset/tools/spoon_10/spoon_10_00000046_obj.npy,./part-affordance-dataset/tools/spoon_10/spoon_10_00000046_label.mat
./part-affordance-dataset/tools/spoon_10/spoon_10_00000056_rgb.jpg,./part-affordance-dataset/tools/spoon_10/spoon_10_00000056_aff.npy,./part-affordance-dataset/tools/spoon_10/spoon_10_00000056_obj.npy,./part-affordance-dataset/tools/spoon_10/spoon_10_00000056_label.mat
./part-affordance-dataset/tools/spoon_10/spoon_10_00000320_rgb.jpg,./part-affordance-dataset/tools/spoon_10/spoon_10_00000320_aff.npy,./part-affordance-dataset/tools/spoon_10/spoon_10_00000320_obj.npy,./part-affordance-dataset/tools/spoon_10/spoon_10_00000320_label.mat
./part-affordance-dataset/tools/spoon_10/spoon_10_00000330_rgb.jpg,./part-affordance-dataset/tools/spoon_10/spoon_10_00000330_aff.npy,./part-affordance-dataset/tools/spoon_10/spoon_10_00000330_obj.npy,./part-affordance-dataset/tools/spoon_10/spoon_10_00000330_label.mat
./part-affordance-dataset/tools/spoon_10/spoon_10_00000248_rgb.jpg,./part-affordance-dataset/tools/spoon_10/spoon_10_00000248_aff.npy,./part-affordance-dataset/tools/spoon_10/spoon_10_00000248_obj.npy,./part-affordance-dataset/tools/spoon_10/spoon_10_00000248_label.mat
./part-affordance-dataset/tools/spoon_10/spoon_10_00000024_rgb.jpg,./part-affordance-dataset/tools/spoon_10/spoon_10_00000024_aff.npy,./part-affordance-dataset/tools/spoon_10/spoon_10_00000024_obj.npy,./part-affordance-dataset/tools/spoon_10/spoon_10_00000024_label.mat
./part-affordance-dataset/tools/spoon_10/spoon_10_00000034_rgb.jpg,./part-affordance-dataset/tools/spoon_10/spoon_10_00000034_aff.npy,./part-affordance-dataset/tools/spoon_10/spoon_10_00000034_obj.npy,./part-affordance-dataset/tools/spoon_10/spoon_10_00000034_label.mat
